Key,PlayerID,Score,Year,Month,Day,Hour,Minute
69,7,570,2014,4,4,10,35
80,17,536,2014,4,17,15,6
72,16,532,2014,4,7,14,47
21,1,531,2014,3,31,19,12
79,17,525,2014,4,17,15,3
81,17,514,2014,4,17,15,8
20,9,499,2014,3,31,19,9
22,8,477,2014,3,31,19,48
76,17,420,2014,4,17,14,54
78,17,416,2014,4,17,15,1
74,7,403,2014,4,7,15,26
73,7,400,2014,4,7,15,22
77,17,400,2014,4,17,14,57
67,14,255,2014,4,3,12,57
40,7,211,2014,4,1,0,19
95,10,125,2014,7,7,22,23
52,7,120,2014,4,2,21,59
42,2,115,2014,4,1,1,30
41,2,93,2014,4,1,1,29
92,10,92,2014,7,7,22,21
94,10,91,2014,7,7,22,23
44,2,88,2014,4,2,17,53
6,8,58,2014,3,31,18,38
9,9,58,2014,3,31,18,55
12,8,57,2014,3,31,19,1
15,9,57,2014,3,31,19,3
19,3,57,2014,3,31,19,6
10,1,56,2014,3,31,18,58
26,2,56,2014,3,31,21,10
7,2,55,2014,3,31,18,39
14,7,55,2014,3,31,19,3
18,5,55,2014,3,31,19,6
23,1,54,2014,3,31,20,26
30,8,54,2014,3,31,21,26
1,2,46,2014,3,31,18,34
0,5,45,2014,3,31,18,34
2,8,45,2014,3,31,18,34
97,1,45,2016,7,1,0,11
16,2,41,2014,3,31,19,4
13,6,39,2014,3,31,19,2
17,6,39,2014,3,31,19,4
5,7,33,2014,3,31,18,38
91,10,33,2014,7,7,22,21
34,1,30,2014,3,31,23,45
35,7,30,2014,3,31,23,45
33,10,29,2014,3,31,23,45
36,9,29,2014,3,31,23,45
46,6,29,2014,4,2,17,54
47,2,29,2014,4,2,17,55
54,1,29,2014,4,2,22,32
56,7,29,2014,4,2,22,49
32,1,28,2014,3,31,23,45
45,7,28,2014,4,2,17,53
58,13,28,2014,4,3,9,57
64,7,28,2014,4,3,10,31
65,7,28,2014,4,3,10,31
50,9,27,2014,4,2,21,56
70,6,27,2014,4,7,12,59
8,5,26,2014,3,31,18,55
31,9,26,2014,3,31,21,26
51,9,26,2014,4,2,21,56
61,7,26,2014,4,3,10,5
66,7,26,2014,4,3,12,36
27,8,18,2014,3,31,21,24
4,4,17,2014,3,31,18,35
59,7,14,2014,4,3,9,57
93,10,14,2014,7,7,22,22
3,2,13,2014,3,31,18,34
48,2,13,2014,4,2,17,56
53,1,13,2014,4,2,22,32
57,7,13,2014,4,2,23,30
62,7,13,2014,4,3,10,5
49,2,12,2014,4,2,17,57
60,7,12,2014,4,3,10,4
11,5,10,2014,3,31,18,59
63,7,10,2014,4,3,10,15
37,7,7,2014,3,31,23,45
39,5,-2,2014,3,31,23,51
55,1,-2,2014,4,2,22,32
38,1,-3,2014,3,31,23,45
29,8,-33,2014,3,31,21,25
82,19,-36,2014,4,17,15,15
88,15,-40,2014,5,12,14,8
24,2,-84,2014,3,31,20,31
43,2,-113,2014,4,1,14,12
28,1,-118,2014,3,31,21,25
75,18,-127,2014,4,17,14,51
87,22,-196,2014,4,18,21,34
96,1,-321,2015,2,10,16,21
98,1,-330,2018,10,27,20,46
85,20,-335,2014,4,18,19,49
83,21,-336,2014,4,18,19,42
84,20,-344,2014,4,18,19,46
90,1,-578,2014,7,3,23,23
71,16,-608,2014,4,7,14,44
89,15,-630,2014,5,12,14,15
99,1,-635,2018,10,27,20,52
86,6,-690,2014,4,18,21,29
25,7,-732,2014,3,31,20,46
68,6,-2599,2014,4,3,22,36
